"geoid","neighborhood","parks_mindist_topcode","parks_aland_1mi","library_mindist_topcode","grocery_mindist_topcode","n_grocery_0.5mi","walk_duration","walk_distance","walk_status","transit_duration","transit_distance","transit_status","NAME","variable","median_rent_est","median_rent_moe","tract_aland_for_landuse","singlefamily_aland","multifamily_aland","tract_pct_singlefamily","tract_pct_multifamily","walk_distance_bool","transit_duration_bool","median_rent_bool","parks_aland_1mi_scale","library_mindist_scale","n_grocery_0.5mi_scale","median_rent_bool_score","walk_distance_bool_score","transit_duration_bool_score","parks_aland_1mi_scale_score","library_mindist_scale_score","n_grocery_0.5mi_scale_score","tract_pct_singlefamily_score","tract_pct_multifamily_score","overall_score","avg_nhood_score","avg_nhood_rank"
"17031490200","Roseland",0.298486495662206,0.110209465753307,1.38665276086321,0.647346341371613,0,236.8,11.7439159090909,"OK",49.1333333333333,12.5019887878788,"OK","Census Tract 4902, Cook County, Illinois","DP04_0134",1073,461,9338431.59942937,5142611.99724355,406374.649634431,0.550693330297327,0.0435163705283511,0,0,1,0.115089251677274,0.0329296463069508,0,0.25,0,0,0.0115089251677274,0.00329296463069508,0,0.0275346665148664,0.00435163705283511,0.296688193366124,0.244229037917436,71
"17031351000","Douglas",0.101445080790445,0.474099754543192,0.403033173302812,0.230514003859035,2,89.4333333333333,4.45274610606061,"OK",40.2666666666667,4.48878563636364,"OK","Census Tract 3510, Cook County, Illinois","DP04_0134",1204,52,9148144.3909353,187921.41562697,1668054.63585899,0.0205420255295901,0.182338031034122,0,1,1,0.495091647507764,0.113295847564079,0.181818181818182,0.25,0,0.15,0.0495091647507764,0.0113295847564079,0.0181818181818182,0.00102710127647951,0.0182338031034122,0.498281472068894,0.428265408356942,17
"17031400300","Washington Park",0,0.627195751972312,0.939669504261541,0.287390448992902,2,140.75,6.95749346212121,"OK",37.9166666666667,7.35641378030303,"OK","Census Tract 4003, Cook County, Illinois","DP04_0134",1148,327,15811201.2873293,71058.2753712861,792506.525241371,0.00449417309159364,0.0501231064508973,0,1,1,0.654966333937541,0.0485936648563122,0.181818181818182,0.25,0,0.15,0.0654966333937541,0.00485936648563122,0.0181818181818182,0.000224708654579682,0.00501231064508973,0.493774837360873,0.471799403182856,2
"17031691000","Grand Crossing",0.214906190693,0.0590135642345057,0.799639213698773,0.25190401817614,4,184.116666666667,9.1130301969697,"OK",40.75,9.40383192424242,"OK","Census Tract 6910, Cook County, Illinois","DP04_0134",1059,115,6984908.55902994,1914527.30890742,1629575.68933325,0.274094827831691,0.233299502142598,0,1,1,0.0616265299911791,0.0571032337878609,0.363636363636364,0.25,0,0.15,0.00616265299911791,0.00571032337878609,0.0363636363636364,0.0137047413915846,0.0233299502142598,0.485271304347385,0.410413141125447,21
"17031061901","Lake View",0.1512485705475,0.507624638068385,0.265209814028557,0.160679556454616,4,87.9166666666667,4.36140453787879,"OK",24.7166666666667,4.98650397727273,"OK","Census Tract 619.01, Cook County, Illinois","DP04_0134",1297,164,1941649.45798871,227020.691809611,938098.365890959,0.116921564227548,0.483145071336772,0,1,0,0.530100924897046,0.1721730590289,0.363636363636364,0,0,0.15,0.0530100924897046,0.01721730590289,0.0363636363636364,0.00584607821137742,0.0483145071336772,0.310751620101286,0.250535371511878,69
"17031711500","Auburn Gresham",0.266533767585932,0.0804075662701522,0.84137517882876,0.28067416346839,1,226.116666666667,11.1641765681818,"OK",52.15,11.9005014545455,"OK","Census Tract 7115, Cook County, Illinois","DP04_0134",1338,154,6968681.19475722,3297611.33027668,262044.544934213,0.473204504283764,0.0376031759253614,0,0,0,0.0839678022932885,0.0542706584586276,0.0909090909090909,0,0,0,0.00839678022932885,0.00542706584586276,0.00909090909090909,0.0236602252141882,0.00376031759253614,0.0503352979728251,0.283423661509214,58
"17031700200","Ashburn",0.194860646752324,0.0614207525894195,0.256695512115445,0.988115284792856,0,249.066666666667,12.2186435151515,"OK",69.75,14.5313871666667,"OK","Census Tract 7002, Cook County, Illinois","DP04_0134",1354,473,17473091.5002159,7636844.35365402,304338.785098034,0.437063146699577,0.0174175694721379,0,0,0,0.064140302329332,0.177883846076929,0,0,0,0,0.0064140302329332,0.0177883846076929,0,0.0218531573349789,0.00174175694721379,0.0477973291228188,0.142600181729719,91
"17031740300","Mount Greenwood",0.264936625810585,0.0854811555359803,0.521181012516804,0.357964572105411,1,325.883333333333,16.0643099469697,"OK",78.2166666666667,18.4050153030303,"OK","Census Tract 7403, Cook County, Illinois","DP04_0134",1321,169,14211538.139562,8904064.54120587,237284.552974726,0.626537708569263,0.0166966130368517,0,0,0,0.0892660367773303,0.0876125259154756,0.0909090909090909,0,0,0,0.00892660367773303,0.00876125259154756,0.00909090909090909,0.0313268854284631,0.00166966130368517,0.059775312092338,0.263503841326317,63
"17031381500","Grand Boulevard",0.233314274613703,0.172009085293068,0.194619748848814,0.11199981273307,3,110.516666666667,5.43016302272727,"OK",32.7833333333333,6.28268432575758,"OK","Census Tract 3815, Cook County, Illinois","DP04_0134",778,178,1169193.43789726,3018.17812247016,414379.326558538,0.00258141897195232,0.35441468719135,0,1,1,0.179625196191258,0.234621538851402,0.272727272727273,0.25,0,0.15,0.0179625196191258,0.0234621538851402,0.0272727272727273,0.000129070948597616,0.035441468719135,0.504267940444726,0.438173748952792,8
"17031242200","East Village",0.0859105722240548,0.0515416996363035,0.41588705691004,0.170226905236606,2,64.6666666666667,3.07765161363636,"OK",32.35,3.66981837878788,"OK","Census Tract 2422, Cook County, Illinois","DP04_0134",1788,122,3522000.33064628,211983.049412615,1530914.26147659,0.0601882536943762,0.434671810833042,0,1,0,0.0538238308367718,0.109794195820957,0.181818181818182,0,0,0.15,0.00538238308367718,0.0109794195820957,0.0181818181818182,0.00300941268471881,0.0434671810833042,0.231020214615614,0.236253578645259,76
"17031240300","Wicker Park",0.119165910255931,0.0488292779229339,0.269467956896849,0.366239701734871,4,74.9833333333333,3.59338971969697,"OK",27.7,4.00473746212121,"OK","Census Tract 2403, Cook County, Illinois","DP04_0134",1699,342,1798513.92216003,441900.460830444,446162.722076693,0.245703108208202,0.248072987692443,0,1,0,0.0509913102080659,0.169452373824401,0.363636363636364,0,0,0.15,0.00509913102080659,0.0169452373824401,0.0363636363636364,0.0122851554104101,0.0248072987692443,0.245500458946537,0.240183938899575,73
"17031381400","Grand Boulevard",0.204380794781942,0.278383089039829,0.0614560195947527,0.126651163938908,2,115.25,5.68803207575758,"OK",32.4833333333333,6.27957746969697,"OK","Census Tract 3814, Cook County, Illinois","DP04_0134",1129,102,3360778.33259821,97410.5944172074,869254.985855758,0.0289845341694701,0.258646926345701,0,1,1,0.290709161669632,0.743002642652129,0.181818181818182,0.25,0,0.15,0.0290709161669632,0.0743002642652129,0.0181818181818182,0.0014492267084735,0.0258646926345701,0.548866917957038,0.438173748952792,8
"17031832100","Lake View",0.112334996622175,0.459930621643179,0.383172418228002,0.301477387308077,3,104.033333333333,5.10642862121212,"OK",30.9666666666667,6.20066332575758,"OK","Census Tract 8321, Cook County, Illinois","DP04_0134",1312,256,2390217.43817759,96359.1231721732,843536.005140691,0.0403139570622671,0.352911827881167,0,1,0,0.480295142586593,0.119168245921636,0.272727272727273,0,0,0.15,0.0480295142586593,0.0119168245921636,0.0272727272727273,0.00201569785311335,0.0352911827881167,0.27452594676478,0.250535371511878,69
"17031671600","Englewood",0.232740883497615,0.0980927980662776,0.763952506641943,0.285687774636486,2,195.75,9.66294371969697,"OK",52.05,10.4924742878788,"OK","Census Tract 6716, Cook County, Illinois","DP04_0134",883,90,4381695.54440141,1016750.7405386,715989.301886058,0.232045045173831,0.163404621482863,0,0,1,0.102436089742492,0.059770711619883,0.181818181818182,0.25,0,0,0.0102436089742492,0.0059770711619883,0.0181818181818182,0.0116022522586916,0.0163404621482863,0.312345212725034,0.347454303292361,35
"17031080201","Gold Coast",0.119697176810918,0.465201382613448,0.48071547419802,0.0492556354564629,4,35.9166666666667,1.73611116666667,"OK",21.2333333333333,1.94054229545455,"OK","Census Tract 802.01, Cook County, Illinois","DP04_0134",1710,82,1456103.27484441,157915.144156029,659884.221528085,0.108450510952187,0.453185040462599,1,1,0,0.485799279020717,0.0949875496351774,0.363636363636364,0,0.15,0.15,0.0485799279020717,0.00949875496351774,0.0363636363636364,0.00542252554760935,0.0453185040462599,0.445183348823095,0.434064689127652,12
"17031190900","Belmont Cragin",0.264024516903045,0.0475355208151117,0.929426726487474,0.245069249547476,6,152.666666666667,7.41482267424242,"OK",58.5833333333333,8.04365034090909,"OK","Census Tract 1909, Cook County, Illinois","DP04_0134",965,143,3386122.02445602,1103715.84277534,400679.079389293,0.325952766853596,0.11832978153044,0,0,1,0.0496402689306796,0.0491291929363274,0.545454545454545,0.25,0,0,0.00496402689306796,0.00491291929363274,0.0545454545454545,0.0162976383426798,0.011832978153044,0.342553017227879,0.339322718491781,37
"17031650302","West Lawn",0.369214105448599,0.32159753532799,0.400037476920055,0.30624549886531,2,212.933333333333,10.4514637878788,"OK",60.3833333333333,12.9201716136364,"OK","Census Tract 6503.02, Cook County, Illinois","DP04_0134",1103,285,7146765.48805428,4044961.17075472,149665.985889457,0.565984874908211,0.0209417793461422,0,0,1,0.335837030232981,0.114144267975442,0.181818181818182,0.25,0,0,0.0335837030232981,0.0114144267975442,0.0181818181818182,0.0282992437454106,0.00209417793461422,0.343573369682685,0.321925877996461,41
"17031841300","Lower West Side",0.223259116027084,0.053950603749204,1.06761585116578,0.205619523751323,1,108.016666666667,5.20211978787879,"OK",41.6833333333333,6.32680168181818,"OK","Census Tract 8413, Cook County, Illinois","DP04_0134",963,81,15238347.1293237,510663.666514946,1313932.40026771,0.033511749153703,0.0862253884306955,0,1,1,0.0563393949021724,0.0427700515273558,0.0909090909090909,0.25,0,0.15,0.00563393949021724,0.00427700515273558,0.00909090909090909,0.00167558745768515,0.00862253884306955,0.429299980034617,0.428896666318064,16
"17031660900","Chicago Lawn",0,0.493177040113312,0.996693094677794,0.501179430881911,0,211.5,10.4315799090909,"OK",67.0833333333333,11.847063530303,"OK","Census Tract 6609, Cook County, Illinois","DP04_0134",1059,62,21226877.7455529,1111256.56122826,1801770.50443451,0.0523513902774077,0.0848815603515682,0,0,1,0.515013625218947,0.0458134858258887,0,0.25,0,0,0.0515013625218947,0.00458134858258887,0,0.00261756951387039,0.00848815603515682,0.317188436653511,0.320223547386395,42
"17031680600","Englewood",0.12492634598397,0.154560535925627,0.768231092592243,0.133238654004104,2,169.5,8.36427788636364,"OK",45.9833333333333,8.65135138636364,"OK","Census Tract 6806, Cook County, Illinois","DP04_0134",964,126,3515375.22592258,397969.439813923,615678.44832085,0.113208239302386,0.175138757245827,0,0,1,0.161404070847563,0.0594378246416779,0.181818181818182,0.25,0,0,0.0161404070847563,0.00594378246416779,0.0181818181818182,0.0056604119651193,0.0175138757245827,0.313440295420444,0.347454303292361,35
